# video_id: V9eI-t3TApE
# language: Chinese (Simplified) (zh-Hans)
# generated: False
# selection: medium - first manual track without an initial translation marker

[00:17:03.166] 我会让它
[00:17:05.433] 我觉得它现在
[00:17:07.366] 当时二点几版本的那个Multi Agent（多智能体）的
[00:17:09.866] 整个逻辑我认为是很混乱的
[00:17:11.533] 然后我自己去让它给我设计一套
[00:17:13.766] 新的Multi Agent的系统
[00:17:15.099] 就我自己可以去改
[00:17:16.366] 我所有的这个源码
[00:17:17.466] 就这样的一种这种原生的这种
[00:17:20.700] 可操纵性给我的那种冲击感是很大的
[00:17:23.166] 但这些事情基本上
[00:17:24.500] 只有Claude Opus 4.6才能改
[00:17:26.666] 嗯
[00:17:26.866] 但它我让Claude Opus 4.6给我改好过后
[00:17:29.566] 这套框架本身是很好用了过后
[00:17:32.700] 我再切换到
[00:17:35.266] 那个Sonnet
[00:17:36.666] 再切换到国内的一些模型
[00:17:38.566] 甚至我们当时正在训的MiMo V2 Pro
[00:17:41.333] 我就觉得
[00:17:42.566] 它就非常强大了
[00:17:43.833] 嗯
[00:17:44.133] 对所以这也是我为什么觉得
[00:17:46.433] 顶尖的模型应该跟顶尖的这种
[00:17:48.466] Agent框架是共同地往前去进步
[00:17:52.500] 或者说这也是我
[00:17:54.500] 最近对所谓的自学习
[00:17:57.700] 以及反正前段时间
[00:17:59.566] 有很多很火的
[00:18:01.133] 这个概念的一个思考
[00:18:01.900] 就是我在这个事情上是
[00:18:03.900] 第一次感受到了一个
[00:18:08.500] Agent的自学习到底是怎么个发生的
[00:18:12.233] 就大概率一个发生的途径就是说
[00:18:15.033] 你确实需要这个模型本身
[00:18:18.433] 跟你这个Agent的架构本身
[00:18:21.466] 同步的往前走
[00:18:23.033] 嗯
[00:18:23.233] 然后模型在进步的时候
[00:18:25.366] 就不管是通过强化学习训练
[00:18:28.500] 或其它训练方式
[00:18:29.733] 在进步的时候
[00:18:30.633] 它其实也是在去
[00:18:32.700] 改变你的整套Agent框架
[00:18:36.233] 这个Agent框架包含
[00:18:39.233] 它送给模型的静态的信息
[00:18:41.633] 这些静态信息
[00:18:42.566] 比如说Memory就是静态信息
[00:18:44.733] 只要你写死了
[00:18:46.133] 哪些东西应该送到
[00:18:48.299] 起一个新的Session的时候
[00:18:49.933] 你应该送到模型里边去
[00:18:51.500] 或者我们叫Skill Fold（技能文件夹）吧
[00:18:53.066] 这个东西其实是在
[00:18:55.133] 训练过程中应该是变化的
[00:18:56.700] 还有一些动态的信息
[00:18:58.099] 动态信息包含你整个Agent
[00:19:00.433] 本身的啊这个架构的设计对
[00:19:05.500] 然后我觉得针对不同的场景
[00:19:07.299] 就比如说Claude Code这种
[00:19:09.900] for软件工程的场景和其它
[00:19:14.099] 比如说做金融分析等其它场景
[00:19:16.633] 我觉得它的Agent架构的
[00:19:18.233] 设计会有差异的
[00:19:19.733] 然后你怎么在
[00:19:22.266] 提升模型能力的同时
[00:19:23.466] 再去提升你的整个Agent框架的
[00:19:26.966] 跟这个模型的一个适配程度
[00:19:28.766] 或说一个泛化能力 对
[00:19:31.266] 然后这是我现在思考的自学习
[00:19:34.099] 嗯 你说的这个智能体的框架
[00:19:37.366] Agent框架是不是就是我们理解的产品
[00:19:40.433] 不是
[00:19:40.933] 它跟产品差异蛮大的
[00:19:42.200] 怎么理解这个Agent框架
[00:19:44.566] 产品跟Agent之间的边界
[00:19:46.566] 现在我不知道怎么去界定
[00:19:48.433] 它有点模糊 对
[00:19:51.466] 嗯 就是我觉得产品
[00:19:54.133] 可以定义成是说你直接
[00:19:57.000] 人交互能感受的那一层的东西
[00:19:59.599] 嗯 但Agent框架它确实是有
[00:20:02.233] 在去定义你的交互层
[00:20:04.833] 但是它同时又在去定义你
[00:20:07.700] 怎么跟模型沟通那一层
[00:20:10.266] 嗯 对
[00:20:11.033] 所以然后它甚至能知道
[00:20:12.933] 模型能力的长板短板
[00:20:15.400] 然后它能知道怎么去更好做调度
[00:20:19.366] 嗯 就比如说for成本优化的调度
[00:20:22.466] 啊
[00:20:22.666] 嗯
[00:20:23.200] 它相当于是一个中间层
[00:20:24.966] 人和模型之间的中间层
[00:20:27.166] 这一个中间层它
[00:20:29.133] 可以做得非常的厚重
[00:20:31.333] 然后反而那个前端的UI
[00:20:33.099] 展示它是最薄的一层
[00:20:35.000] 它已经不是很关键
[00:20:36.733] 对
[00:20:37.299] 所以OpenClaw其实是展示了
[00:20:38.766] 智能体的这个框架可以怎么做
[00:20:41.366] 对这个框架的想象空间非常大
[00:20:43.866] 之前有人做过吗
[00:20:45.166] 其实Claude Code
[00:20:46.533] 它一直是一套很复杂的Agent框架
[00:20:49.466] 只是因为它是黑盒
[00:20:51.466] 所以我们不知道它怎么设计的
[00:20:53.466] OpenClaw是开源的
[00:20:55.000] 所以你知道它是怎么设计的
[00:20:56.766] 然后并且你可以去改它
[00:20:58.566] 就改它这个事是非常非常
[00:21:01.166] 嗯激发人的创造力的
[00:21:03.266] 嗯
[00:21:03.733] 就你知道它框架怎么设计的
[00:21:05.433] 你让它去改
[00:21:06.200] 你自己现捏一个新的框架出来
[00:21:08.299] 你可以基于它现捏一个新的框架出来
[00:21:10.033] 这是为什么OpenClaw从二点几版本
[00:21:12.833] 嗯 我当时用它的时候
[00:21:13.833] 我自己觉得它并不好用
[00:21:15.333] 所以我花了好几天时间去改它
[00:21:17.433] 到三点几版本嗯
[00:21:20.266] 就3月10多号的版本已经非常易用了
[00:21:23.166] 就是你基本上基于三点几后的
[00:21:26.933] 版本接一个还不错的模型
[00:21:30.166] 你都会觉得它很强大
[00:21:32.000] 嗯 而不是只有接Claude的
[00:21:33.533] 模型会觉得它很强大
[00:21:34.799] 就是因为它整个Agent的架构
[00:21:36.833] 受一堆人
[00:21:39.166] 开发者也好
[00:21:40.566] 或者说本身像我这种
[00:21:43.166] 并不是属于是
[00:21:46.133] 一开始这个框架的开发者
[00:21:48.566] 只是使用者
[00:21:49.799] 我都能去改进它
[00:21:51.333] 我for我自己的场景去做改进和优化
[00:21:53.866] 所以我觉得这是
[00:21:56.866] 或者说这是开源
[00:21:58.799] Agent框架本身的价值和意义 对
[00:22:02.166] 在你高强度的那一周
[00:22:04.033] 就是跟OpenClaw交互的那一周
[00:22:05.666] 你消耗了多少美金的Opus 4.6
[00:22:07.933] 第一天反正就是快1000块钱
[00:22:11.733] 1000刀
[00:22:12.366] 因为大概用了四五个小时
[00:22:14.200] 嗯 然后我中途疯狂也会切
[00:22:17.333] 因为它太贵了
[00:22:18.166] 然后我会切Sonnet
[00:22:19.500] 但是我发现真不行
[00:22:21.200] 然后我就
[00:22:22.599] 只能去用Opus
[00:22:24.066] 然后只有Opus能带来那种惊艳感
[00:22:27.000] 但后边
